record_id,actual_label,actual_class,ae_score,ae_prediction_0.5pct,ae_prediction_1pct,ae_prediction_3pct,ae_status_0.5pct,ae_status_1pct,ae_status_3pct,default_threshold,default_prediction,default_status,correct_prediction,top_feature_1,top_feature_1_error,top_feature_2,top_feature_2_error,top_feature_3,top_feature_3_error
1,0,Normal,0.0010894776282729171,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_25,0.005793381657817953,feature_0,0.004776316551807903,feature_5,0.004622776538275987
2,0,Normal,0.0027051160401710627,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_31,0.017649642817460176,feature_32,0.012010321142328861,feature_11,0.010502574949687765
3,0,Normal,0.0011932969585516653,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_31,0.00717578821643855,feature_25,0.00506879258559767,feature_32,0.004624385556628363
4,0,Normal,0.0007918109871861448,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_10,0.004241897978926036,feature_31,0.0034144150534451967,feature_25,0.0030314230168784206
5,0,Normal,0.002584850037408505,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_31,0.011141591768931092,feature_25,0.010578782556401656,feature_3,0.010220969962835464
6,0,Normal,0.0010731824279471935,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_10,0.013570308311437889,feature_14,0.007505882359828444,feature_4,0.003091205192237793
7,0,Normal,0.002579747915065834,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_4,0.01085744057949493,feature_31,0.01048471732084355,feature_3,0.009096546586844098
8,0,Normal,0.003019154893873064,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_11,0.0181448570886372,feature_31,0.014100056330846655,feature_5,0.013321364097115311
9,0,Normal,0.1317693432749941,1,1,1,Anomaly,Anomaly,Anomaly,0.036467666841251495,1,Anomaly,False,feature_6,1.5429616905212074,feature_17,0.6784707593121277,feature_18,0.603755066797522
10,0,Normal,0.1317693432749941,1,1,1,Anomaly,Anomaly,Anomaly,0.036467666841251495,1,Anomaly,False,feature_6,1.5429616905212074,feature_17,0.6784707593121277,feature_18,0.603755066797522
11,0,Normal,0.1317693432749941,1,1,1,Anomaly,Anomaly,Anomaly,0.036467666841251495,1,Anomaly,False,feature_6,1.5429616905212074,feature_17,0.6784707593121277,feature_18,0.603755066797522
12,0,Normal,0.1317693432749941,1,1,1,Anomaly,Anomaly,Anomaly,0.036467666841251495,1,Anomaly,False,feature_6,1.5429616905212074,feature_17,0.6784707593121277,feature_18,0.603755066797522
13,0,Normal,0.001856459443233279,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_31,0.011218424941156435,feature_32,0.009101769506969504,feature_3,0.007649535015304056
14,0,Normal,0.0029202875581760025,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_3,0.015048587955630044,feature_31,0.014584736029560341,feature_32,0.014248734087957127
15,0,Normal,0.003989432701392581,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_31,0.018901247713088765,feature_34,0.01592964218313231,feature_16,0.015737781576592044
16,0,Normal,0.0017283339418310297,0,0,0,Normal,Normal,Normal,0.036467666841251495,0,Normal,True,feature_10,0.019920701500250555,feature_14,0.009801166593782717,feature_25,0.0061890736293703785
