record_id,actual_label,actual_class,if_score,if_prediction_0.5pct,if_prediction_1pct,if_prediction_3pct,if_status_0.5pct,if_status_1pct,if_status_3pct,default_threshold,default_prediction,default_status,correct_prediction
1,0,Normal,0.4507126587183861,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
2,0,Normal,0.46368481029059877,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
3,0,Normal,0.4397281482870854,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
4,0,Normal,0.4410191628139985,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
5,0,Normal,0.4602076621389899,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
6,0,Normal,0.46448561126390325,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
7,0,Normal,0.47394495474785925,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
8,0,Normal,0.4820978307036187,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
9,0,Normal,0.630057274096432,1,1,1,Anomaly,Anomaly,Anomaly,0.5460537691550149,1,Anomaly,False
10,0,Normal,0.630057274096432,1,1,1,Anomaly,Anomaly,Anomaly,0.5460537691550149,1,Anomaly,False
11,0,Normal,0.630057274096432,1,1,1,Anomaly,Anomaly,Anomaly,0.5460537691550149,1,Anomaly,False
12,0,Normal,0.630057274096432,1,1,1,Anomaly,Anomaly,Anomaly,0.5460537691550149,1,Anomaly,False
13,0,Normal,0.46101130315200967,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
14,0,Normal,0.4661698578000802,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
15,0,Normal,0.49295194788731367,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
16,0,Normal,0.43688025663850755,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
17,0,Normal,0.4573994539981331,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
18,0,Normal,0.4600346584062565,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
19,0,Normal,0.4866218708457977,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
20,0,Normal,0.4799837014792262,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
21,0,Normal,0.4702034517821856,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
22,0,Normal,0.444558127768333,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
23,0,Normal,0.4423316288481475,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
24,0,Normal,0.46894360771985716,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
25,0,Normal,0.44889345617243026,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
26,0,Normal,0.4611518993430084,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
27,0,Normal,0.45200143881302884,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
28,0,Normal,0.4974849222354489,0,0,1,Normal,Normal,Anomaly,0.5460537691550149,0,Normal,True
29,0,Normal,0.4583507401551442,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
30,0,Normal,0.38359842548732975,0,0,0,Normal,Normal,Normal,0.5460537691550149,0,Normal,True
