unsw_feature,status,zeek_source,in_portable_set
dur,Direct,duration,yes
spkts,Direct,orig_pkts,yes
dpkts,Direct,resp_pkts,yes
sbytes,Direct,orig_ip_bytes (NOT orig_bytes: UNSW includes headers),yes
dbytes,Direct,resp_ip_bytes (NOT resp_bytes: UNSW includes headers),yes
rate,Derived,(orig_pkts + resp_pkts) / duration,yes
sload,Derived,orig_ip_bytes * 8 / duration,yes
dload,Derived,resp_ip_bytes * 8 / duration,yes
smean,Derived,orig_ip_bytes / orig_pkts,yes
dmean,Derived,resp_ip_bytes / resp_pkts,yes
ct_srv_src,Recomputed,count over last 100 conns sharing service + id.orig_h,yes
ct_srv_dst,Recomputed,count over last 100 conns sharing service + id.resp_h,yes
ct_dst_ltm,Recomputed,count over last 100 conns sharing id.resp_h,yes
ct_src_ltm,Recomputed,count over last 100 conns sharing id.orig_h,yes
ct_src_dport_ltm,Recomputed,count over last 100 conns sharing id.orig_h + id.resp_p,yes
ct_dst_sport_ltm,Recomputed,count over last 100 conns sharing id.resp_h + id.orig_p,yes
ct_dst_src_ltm,Recomputed,count over last 100 conns sharing id.orig_h + id.resp_h,yes
is_sm_ips_ports,Derived,id.orig_h == id.resp_h AND id.orig_p == id.resp_p,yes
proto,Direct,proto,yes
service,Direct,service ('-' in UNSW maps to empty field in Zeek),yes
state,Lossy,"conn_state; different vocabulary, needs documented lookup",yes
sttl,Not available,TTL not present in conn.log,no
dttl,Not available,TTL not present in conn.log,no
ct_state_ttl,Not available,"derived from TTL, not present in conn.log",no
swin,Not available,TCP window size requires packet inspection,no
dwin,Not available,TCP window size requires packet inspection,no
stcpb,Not available,TCP base sequence number requires packet inspection,no
dtcpb,Not available,TCP base sequence number requires packet inspection,no
tcprtt,Not available,TCP handshake timing requires packet inspection,no
synack,Not available,TCP handshake timing requires packet inspection,no
ackdat,Not available,TCP handshake timing requires packet inspection,no
sjit,Not available,inter-packet jitter requires packet inspection,no
djit,Not available,inter-packet jitter requires packet inspection,no
sinpkt,Not available,inter-packet arrival time requires packet inspection,no
dinpkt,Not available,inter-packet arrival time requires packet inspection,no
sloss,Not available,retransmission counts require packet inspection,no
dloss,Not available,retransmission counts require packet inspection,no
trans_depth,Not available,"requires http.log, out of MVP scope",no
response_body_len,Not available,"requires http.log, out of MVP scope",no
ct_flw_http_mthd,Not available,"requires http.log, out of MVP scope",no
is_ftp_login,Not available,"requires ftp.log, out of MVP scope",no
ct_ftp_cmd,Not available,"requires ftp.log, out of MVP scope",no
