traffic_type,ts,src_ip,src_port,dst_ip,dst_port,label,kali_source,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_sm_ips_ports,proto,service,state
bulk_transfer,1787878912.912205,192.168.10.30,58670,192.168.10.20,22,1,1,80.667625,19,17,4573,4016,0.4462756899065765,453.51527332061653,398.27626014773585,240.68421052631578,236.23529411764707,1,1,1,1,1,1,1,0,tcp,ssh,FIN
bulk_transfer,1787879023.448818,192.168.10.30,34528,192.168.10.20,22,1,1,112.978533,15,12,4005,3652,0.23898345360883735,283.59369828248697,258.5977992828071,267.0,304.3333333333333,2,2,2,2,2,1,2,0,tcp,ssh,FIN
bulk_transfer,1787879157.304083,192.168.10.30,41100,192.168.10.20,22,1,1,13.305999,55655,26023,107883229,1419792,6138.434250596291,64862911.23274547,853625.1956730194,1938.428335279849,54.55912077777351,3,3,3,3,3,1,3,0,tcp,ssh,FIN
dns_brust,1787882524.560044,192.168.10.30,40311,192.168.10.20,53,1,1,0.000432,1,1,76,80,4629.62962962963,1407407.4074074074,1481481.4814814816,76.0,80.0,1,1,1,1,1,1,1,0,udp,dns,FIN
dns_brust,1787882937.71507,192.168.10.30,45869,192.168.10.20,53,1,1,0.000469,1,1,76,80,4264.392324093817,1296375.2665245202,1364605.5437100213,76.0,80.0,2,2,2,2,2,1,2,0,udp,dns,FIN
dns_brust,1787882937.726017,192.168.10.30,40602,192.168.10.20,53,1,1,0.001617,1,1,76,80,1236.8583797155227,376004.9474335189,395794.68150896725,76.0,80.0,3,3,3,3,3,1,3,0,udp,dns,FIN
dns_brust,1787882937.737887,192.168.10.30,39399,192.168.10.20,53,1,1,0.000431,1,1,76,80,4640.371229698376,1410672.8538283063,1484918.7935034803,76.0,80.0,4,4,4,4,4,1,4,0,udp,dns,FIN
dns_brust,1787882937.748702,192.168.10.30,51185,192.168.10.20,53,1,1,0.000457,1,1,76,80,4376.36761487965,1330415.7549234135,1400437.636761488,76.0,80.0,5,5,5,5,5,1,5,0,udp,dns,FIN
dns_brust,1787882937.759155,192.168.10.30,59902,192.168.10.20,53,1,1,0.000593,1,1,76,80,3372.681281618887,1025295.1096121416,1079258.0101180437,76.0,80.0,6,6,6,6,6,1,6,0,udp,dns,FIN
dns_brust,1787882937.76939,192.168.10.30,51704,192.168.10.20,53,1,1,0.000559,1,1,76,80,3577.8175313059032,1087656.5295169945,1144901.610017889,76.0,80.0,7,7,7,7,7,1,7,0,udp,dns,FIN
dns_brust,1787882937.779861,192.168.10.30,43269,192.168.10.20,53,1,1,0.000513,1,1,76,80,3898.635477582846,1185185.1851851852,1247563.3528265108,76.0,80.0,8,8,8,8,8,1,8,0,udp,dns,FIN
dns_brust,1787882937.790287,192.168.10.30,46774,192.168.10.20,53,1,1,0.000496,1,1,76,80,4032.258064516129,1225806.4516129033,1290322.5806451612,76.0,80.0,9,9,9,9,9,1,9,0,udp,dns,FIN
dns_brust,1787882937.800234,192.168.10.30,40460,192.168.10.20,53,1,1,0.000446,1,1,76,80,4484.304932735426,1363228.6995515695,1434977.5784753363,76.0,80.0,10,10,10,10,10,1,10,0,udp,dns,FIN
dns_brust,1787882937.810447,192.168.10.30,34754,192.168.10.20,53,1,1,0.000487,1,1,76,80,4106.776180698152,1248459.9589322382,1314168.3778234085,76.0,80.0,11,11,11,11,11,1,11,0,udp,dns,FIN
dns_brust,1787882937.820959,192.168.10.30,44009,192.168.10.20,53,1,1,0.000507,1,1,76,80,3944.7731755424065,1199211.0453648916,1262327.41617357,76.0,80.0,12,12,12,12,12,1,12,0,udp,dns,FIN
dns_brust,1787882937.831257,192.168.10.30,55128,192.168.10.20,53,1,1,0.000467,1,1,76,80,4282.655246252676,1301927.1948608137,1370449.6788008565,76.0,80.0,13,13,13,13,13,1,13,0,udp,dns,FIN
dns_brust,1787882937.841427,192.168.10.30,54205,192.168.10.20,53,1,1,0.000422,1,1,76,80,4739.336492890995,1440758.2938388626,1516587.6777251184,76.0,80.0,14,14,14,14,14,1,14,0,udp,dns,FIN
dns_brust,1787882937.852271,192.168.10.30,52749,192.168.10.20,53,1,1,0.000327,1,1,76,80,6116.207951070337,1859327.2171253823,1957186.5443425078,76.0,80.0,15,15,15,15,15,1,15,0,udp,dns,FIN
dns_brust,1787882937.862293,192.168.10.30,60772,192.168.10.20,53,1,1,0.000328,1,1,76,80,6097.560975609756,1853658.536585366,1951219.512195122,76.0,80.0,16,16,16,16,16,1,16,0,udp,dns,FIN
dns_brust,1787882937.872437,192.168.10.30,58654,192.168.10.20,53,1,1,0.000499,1,1,76,80,4008.0160320641285,1218436.873747495,1282565.130260521,76.0,80.0,17,17,17,17,17,1,17,0,udp,dns,FIN
dns_brust,1787882937.882831,192.168.10.30,51084,192.168.10.20,53,1,1,0.00048,1,1,76,80,4166.666666666667,1266666.6666666667,1333333.3333333333,76.0,80.0,18,18,18,18,18,1,18,0,udp,dns,FIN
dns_brust,1787882937.893056,192.168.10.30,39124,192.168.10.20,53,1,1,0.000502,1,1,76,80,3984.0637450199206,1211155.3784860559,1274900.3984063747,76.0,80.0,19,19,19,19,19,1,19,0,udp,dns,FIN
dns_brust,1787882937.903789,192.168.10.30,47435,192.168.10.20,53,1,1,0.000431,1,1,76,80,4640.371229698376,1410672.8538283063,1484918.7935034803,76.0,80.0,20,20,20,20,20,1,20,0,udp,dns,FIN
dns_brust,1787882937.914733,192.168.10.30,35921,192.168.10.20,53,1,1,0.000383,1,1,76,80,5221.9321148825065,1587467.362924282,1671018.2767624022,76.0,80.0,21,21,21,21,21,1,21,0,udp,dns,FIN
dns_brust,1787882937.925033,192.168.10.30,33438,192.168.10.20,53,1,1,0.000822,1,1,76,80,2433.0900243309,739659.3673965937,778588.8077858881,76.0,80.0,22,22,22,22,22,1,22,0,udp,dns,FIN
dns_brust,1787882937.935606,192.168.10.30,49450,192.168.10.20,53,1,1,0.000554,1,1,76,80,3610.1083032490974,1097472.9241877256,1155234.6570397113,76.0,80.0,23,23,23,23,23,1,23,0,udp,dns,FIN
dns_brust,1787882937.945968,192.168.10.30,44488,192.168.10.20,53,1,1,0.000399,1,1,76,80,5012.5313283208025,1523809.5238095238,1604010.0250626567,76.0,80.0,24,24,24,24,24,1,24,0,udp,dns,FIN
dns_brust,1787882937.956344,192.168.10.30,45366,192.168.10.20,53,1,1,0.000404,1,1,76,80,4950.495049504951,1504950.495049505,1584158.415841584,76.0,80.0,25,25,25,25,25,1,25,0,udp,dns,FIN
dns_brust,1787882937.966293,192.168.10.30,35637,192.168.10.20,53,1,1,0.000393,1,1,76,80,5089.058524173028,1547073.7913486005,1628498.727735369,76.0,80.0,26,26,26,26,26,1,26,0,udp,dns,FIN
dns_brust,1787882937.976385,192.168.10.30,60796,192.168.10.20,53,1,1,0.000563,1,1,76,80,3552.3978685612788,1079928.9520426288,1136767.3179396093,76.0,80.0,27,27,27,27,27,1,27,0,udp,dns,FIN
dns_brust,1787882937.987026,192.168.10.30,49834,192.168.10.20,53,1,1,0.000476,1,1,76,80,4201.680672268907,1277310.9243697478,1344537.8151260503,76.0,80.0,28,28,28,28,28,1,28,0,udp,dns,FIN
dns_brust,1787882937.997313,192.168.10.30,45640,192.168.10.20,53,1,1,0.000511,1,1,76,80,3913.894324853229,1189823.8747553816,1252446.1839530333,76.0,80.0,29,29,29,29,29,1,29,0,udp,dns,FIN
dns_brust,1787882938.007188,192.168.10.30,47935,192.168.10.20,53,1,1,0.000524,1,1,76,80,3816.793893129771,1160305.3435114503,1221374.0458015266,76.0,80.0,30,30,30,30,30,1,30,0,udp,dns,FIN
dns_brust,1787882938.017784,192.168.10.30,55898,192.168.10.20,53,1,1,0.000382,1,1,76,80,5235.602094240838,1591623.0366492146,1675392.670157068,76.0,80.0,31,31,31,31,31,1,31,0,udp,dns,FIN
dns_brust,1787882938.027814,192.168.10.30,58735,192.168.10.20,53,1,1,0.000302,1,1,76,80,6622.51655629139,2013245.0331125825,2119205.2980132448,76.0,80.0,32,32,32,32,32,1,32,0,udp,dns,FIN
dns_brust,1787882938.037919,192.168.10.30,33302,192.168.10.20,53,1,1,0.000309,1,1,76,80,6472.491909385114,1967637.5404530745,2071197.4110032364,76.0,80.0,33,33,33,33,33,1,33,0,udp,dns,FIN
dns_brust,1787882938.048328,192.168.10.30,43208,192.168.10.20,53,1,1,0.000304,1,1,76,80,6578.9473684210525,2000000.0,2105263.1578947366,76.0,80.0,34,34,34,34,34,1,34,0,udp,dns,FIN
dns_brust,1787882938.058419,192.168.10.30,48015,192.168.10.20,53,1,1,0.000297,1,1,76,80,6734.0067340067335,2047138.0471380472,2154882.154882155,76.0,80.0,35,35,35,35,35,1,35,0,udp,dns,FIN
dns_brust,1787882938.067943,192.168.10.30,38128,192.168.10.20,53,1,1,0.000321,1,1,76,80,6230.529595015576,1894080.9968847353,1993769.4704049844,76.0,80.0,36,36,36,36,36,1,36,0,udp,dns,FIN
dns_brust,1787882938.078113,192.168.10.30,34393,192.168.10.20,53,1,1,0.000299,1,1,76,80,6688.963210702341,2033444.8160535116,2140468.227424749,76.0,80.0,37,37,37,37,37,1,37,0,udp,dns,FIN
dns_brust,1787882938.088321,192.168.10.30,42730,192.168.10.20,53,1,1,0.000357,1,1,76,80,5602.240896358543,1703081.232492997,1792717.0868347338,76.0,80.0,38,38,38,38,38,1,38,0,udp,dns,FIN
dns_brust,1787882938.098343,192.168.10.30,41988,192.168.10.20,53,1,1,0.001403,1,1,76,80,1425.5167498218104,433357.0919458304,456165.35994297935,76.0,80.0,39,39,39,39,39,1,39,0,udp,dns,FIN
dns_brust,1787882938.109947,192.168.10.30,56052,192.168.10.20,53,1,1,0.000311,1,1,76,80,6430.868167202572,1954983.922829582,2057877.813504823,76.0,80.0,40,40,40,40,40,1,40,0,udp,dns,FIN
dns_brust,1787882938.121048,192.168.10.30,58607,192.168.10.20,53,1,1,0.000266,1,1,76,80,7518.796992481202,2285714.2857142854,2406015.037593985,76.0,80.0,41,41,41,41,41,1,41,0,udp,dns,FIN
dns_brust,1787882938.130744,192.168.10.30,55760,192.168.10.20,53,1,1,0.000286,1,1,76,80,6993.006993006993,2125874.125874126,2237762.2377622374,76.0,80.0,42,42,42,42,42,1,42,0,udp,dns,FIN
dns_brust,1787882938.140706,192.168.10.30,33717,192.168.10.20,53,1,1,0.000303,1,1,76,80,6600.660066006601,2006600.6600660067,2112211.221122112,76.0,80.0,43,43,43,43,43,1,43,0,udp,dns,FIN
dns_brust,1787882938.150895,192.168.10.30,47381,192.168.10.20,53,1,1,0.000298,1,1,76,80,6711.4093959731545,2040268.456375839,2147651.0067114094,76.0,80.0,44,44,44,44,44,1,44,0,udp,dns,FIN
dns_brust,1787882938.160873,192.168.10.30,47852,192.168.10.20,53,1,1,0.000285,1,1,76,80,7017.543859649123,2133333.3333333335,2245614.0350877196,76.0,80.0,45,45,45,45,45,1,45,0,udp,dns,FIN
dns_brust,1787882938.171108,192.168.10.30,44381,192.168.10.20,53,1,1,0.000295,1,1,76,80,6779.661016949152,2061016.9491525423,2169491.525423729,76.0,80.0,46,46,46,46,46,1,46,0,udp,dns,FIN
dns_brust,1787882938.181085,192.168.10.30,60406,192.168.10.20,53,1,1,0.000834,1,1,76,80,2398.0815347721823,729016.7865707434,767386.0911270983,76.0,80.0,47,47,47,47,47,1,47,0,udp,dns,FIN
dns_brust,1787882938.191692,192.168.10.30,54642,192.168.10.20,53,1,1,0.000305,1,1,76,80,6557.377049180328,1993442.6229508198,2098360.655737705,76.0,80.0,48,48,48,48,48,1,48,0,udp,dns,FIN
