traffic_type	ts	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_ip_bytes	resp_ip-bytes	orig_pkts	resp_pkts	conn_state
normal	1786931724.997899	192.168.10.10	54104	192.168.10.20	80	tcp	http	0.004304	345	508	5	5	SF
normal	1786931729.272748	192.168.10.10	54108	192.168.10.20	80	tcp	http	0.002353	355	508	5	5	SF
normal	1786931732.830067	192.168.10.10	53628	192.168.10.20	80	tcp	http	0.002170	345	508	5	5	SF
normal	1786931733.957985	192.168.10.10	53644	192.168.10.20	80	tcp	http	0.002337	355	508	5	5	SF
normal	1786931735.422449	192.168.10.10	53656	192.168.10.20	80	tcp	http	0.002435	345	508	5	5	SF
normal	1786931743.947377	192.168.10.10	52470	192.168.10.20	53	udp	dns	0.000510	76	80	1	1	SF
normal	1786931757.160911	192.168.10.10	54652	192.168.10.20	53	udp	dns	0.000519	76	80	1	1	SF
normal	1786931769.046153	192.168.10.10	56835	192.168.10.20	53	udp	dns	0.000520	76	80	1	1	SF
normal	1786931773.156782	192.168.10.10	60847	192.168.10.20	53	udp	dns	0.000373	76	80	1	1	SF
normal	1786931790.669726	192.168.10.10	57920	192.168.10.20	22	tcp	ssh	48.051686	103568	109596	1152	1156	SF
normal	1786931851.364506	192.168.10.10	40458	192.168.10.20	22	tcp	ssh	14.964382	49800	54104	536	540	SF
normal	1786931880.955725	192.168.10.10	8	192.168.10.20	0	icmp	-	4.043764	420	420	5	5	OTH
nmap_scan	1787875964.513849	192.168.10.10	8	192.168.10.20	0	icmp	-	4.005404	420	420	5	5	OTH
nmap_scan	1787876244.468389	192.168.10.30	51345	192.168.10.20	443	tcp	-	0.000453	44	40	1	1	REJ
nmap_scan	1787876244.468390	192.168.10.30	51345	192.168.10.20	995	tcp	-	0.000452	44	40	1	1	REJ
nmap_scan	1787876244.468390	192.168.10.30	51345	192.168.10.20	135	tcp	-	0.000523	44	40	1	1	REJ
nmap_scan	1787876244.468390	192.168.10.30	51345	192.168.10.20	80	tcp	-	0.000523	44	40	1	1	REJ
nmap_scan	1787876244.468508	192.168.10.30	51345	192.168.10.20	199	tcp	-	0.000765	44	40	1	1	REJ
nmap_scan	1787876244.468390	192.168.10.30	51345	192.168.10.20	445	tcp	-	0.000883	44	40	1	1	REJ
nmap_scan	1787876244.468508	192.168.10.30	51345	192.168.10.20	110	tcp	-	0.000765	44	40	1	1	REJ
nmap_scan	1787876244.468509	192.168.10.30	51345	192.168.10.20	587	tcp	-	0.000764	44	40	1	1	REJ
nmap_scan	1787876244.468797	192.168.10.30	51345	192.168.10.20	23	tcp	-	0.000476	44	40	1	1	REJ
nmap_scan	1787876244.468842	192.168.10.30	51345	192.168.10.20	139	tcp	-	0.000469	44	40	1	1	REJ
nmap_scan	1787876244.469676	192.168.10.30	51345	192.168.10.20	143	tcp	-	0.000178	44	40	1	1	REJ
nmap_scan	1787876244.469677	192.168.10.30	51345	192.168.10.20	554	tcp	-	0.000545	44	40	1	1	REJ
nmap_scan	1787876244.470222	192.168.10.30	51345	192.168.10.20	21	tcp	-	0.000058	44	40	1	1	REJ
nmap_scan	1787876244.469677	192.168.10.30	51345	192.168.10.20	22	tcp	-	0.000603	84	44	2	1	RSTO
nmap_scan	1787876244.469790	192.168.10.30	51345	192.168.10.20	53	tcp	-	0.001262	84	44	2	1	RSTO
