feature,effect_size
sttl,1.943041459925781
ct_state_ttl,1.3972833546839638
ct_dst_sport_ltm,0.9339849921198936
rate,0.8691631320534225
ct_src_dport_ltm,0.7852840527731128
swin,0.7636252250638749
ct_dst_src_ltm,0.7622260717335795
dload,0.7345708407254371
dwin,0.7260453883625704
dmean,0.7099617754985963
ct_src_ltm,0.5893286687118005
ct_dst_ltm,0.5724934891301156
ct_srv_src,0.5573272647692189
ct_srv_dst,0.5562656516099379
stcpb,0.5517242694551834
dtcpb,0.541435844989852
sload,0.4177391242915656
is_sm_ips_ports,0.32211584713864416
sinpkt,0.3080317452297868
dpkts,0.258458464092998
dttl,0.21598942642945504
dloss,0.20739420345910967
ackdat,0.20290726305128198
tcprtt,0.16964273049215894
dbytes,0.16635374741011233
spkts,0.12678224033881824
synack,0.1193117289505706
djit,0.1122721898192173
dur,0.08257447977541593
response_body_len,0.04813272633782302
sbytes,0.0464567918635349
dinpkt,0.0419494354193102
ct_flw_http_mthd,0.03639206479747106
trans_depth,0.02634961310468687
smean,0.02366669422426721
ct_ftp_cmd,0.02353937783117476
is_ftp_login,0.02353937783117476
sjit,0.014677233474089545
sloss,0.0015976541884495585
