feature,psi,train_mean,test_mean,train_p99,test_p99
dload,0.39414184052317375,-0.28413918369980956,-0.7671818162079664,0.6341599780123351,0.6202035799906988
dmean,0.3472906475429765,0.14240869644961743,-0.287079000641064,1.3356354827355552,1.32608175233137
dbytes,0.3306986801784617,-0.02926749727110319,-0.40811917920113694,1.7878751538937698,1.5946626687475327
dpkts,0.32875564113655265,-0.028943440434385317,-0.2734287930503987,1.8161927828785147,1.5649227858569807
spkts,0.30024363758062506,0.01941838905081054,-0.11611891447808453,1.3887618483954847,1.2018466932990333
rate,0.28540567109261505,-0.21894585952271017,-0.349691016824674,1.1803621146226957,1.3410258550249738
sbytes,0.2310723513222282,-0.07413099689026593,-0.2498983736781597,1.6767407804687386,1.9835744160707467
sload,0.20746997077812013,-0.21034941479051705,-0.3581633681521677,1.859092460640794,1.9329219982563848
dur,0.20197142772504964,0.5379792504346095,0.6780087423185815,5.491111464061902,5.454062157859249
smean,0.17590450696274793,0.3670937336198548,0.37187187284099454,3.3399264296808986,3.505028993936843
ct_dst_ltm,0.08718295975376804,-0.0833661776366487,-0.2322977181789356,2.587489308460799,3.150660103087123
ct_src_ltm,0.08001879991452776,0.08866035017081823,-0.03314201362743659,2.247927513443585,2.4594316186372973
service_-,0.05788149669489634,0.6284701252654341,0.7398648648648649,1.0,1.0
service_dns,0.03523095413986968,0.14155188872221464,0.08291891891891892,1.0,1.0
ct_dst_src_ltm,0.03278083832767655,-0.06444196506712306,-0.08643723679804967,2.161979162241115,2.3979556934315798
ct_src_dport_ltm,0.02782501270867948,0.1658866968298103,0.2133272638588811,1.8718021769015913,1.7047480922384253
state_CON,0.0162637863486978,0.2306403537823148,0.17927027027027026,1.0,1.0
state_FIN,0.015352605766095172,0.7109349126258986,0.6532972972972974,1.0,1.0
ct_srv_dst,0.009116354590155935,0.0365243044935722,0.031180065240588525,1.7922160377606091,1.954389723079705
ct_srv_src,0.008191704948881518,0.0682541244703488,0.0953425661049369,1.7922160377606091,1.954389723079705
proto_udp,0.006270157327476315,0.2524205645711169,0.21883783783783783,1.0,1.0
service_http,0.0006205567059846882,0.10083575227445403,0.10845945945945946,1.0,1.0
proto_tcp,0.00047590701879886017,0.7431766378991252,0.7526486486486487,1.0,1.0
proto_other,0.0,0.0011494028949367828,0.0018378378378378379,0.0,0.0
ct_dst_sport_ltm,0.0,0.00964255084563747,0.0329053945582832,0.4054651081081643,0.6931471805599453
service_ftp,0.0,0.0236309442637003,0.020486486486486488,1.0,1.0
is_sm_ips_ports,0.0,0.0015585123999142818,0.024756756756756756,0.0,1.0
proto_arp,0.0,0.0032533946348210635,0.026675675675675675,0.0,1.0
service_pop3,0.0,7.79256199957141e-05,0.0,0.0,0.0
service_radius,0.0,3.896280999785705e-05,5.4054054054054054e-05,0.0,0.0
service_smtp,0.0,0.030644250063314567,0.017162162162162164,1.0,1.0
service_snmp,0.0,1.9481404998928524e-05,0.0,0.0,0.0
service_ftp-data,0.0,0.04971654555726559,0.02564864864864865,1.0,1.0
service_ssh,0.0,0.025014124018624222,0.005405405405405406,1.0,0.0
state_ECO,0.0,0.00019481404998928522,0.0,0.0,0.0
state_INT,0.0,0.044787750092536674,0.12121621621621621,1.0,1.0
state_PAR,0.0,1.9481404998928524e-05,0.0,0.0,0.0
state_REQ,0.0,0.01200054547933997,0.04613513513513513,1.0,1.0
state_RST,0.0,0.001383179754923925,2.7027027027027027e-05,0.0,0.0
state_URN,0.0,1.9481404998928524e-05,0.0,0.0,0.0
state_no,0.0,1.9481404998928524e-05,0.0,0.0,0.0
